id,name,  price  ,qty
1,RedApple,7.77,430
2,GreenApple,9.86,191
3,Carrot,2.16,264
4,Egg,9.46,100
5,Coconut,8.93,253
6,RedWine,9.01,274
7,WhiteWine,4.98,119
8,Flour,3.37,271
9,MilkSkim,9.63,104
10,MilkAlmond,2.36,104
11,MilkSoy,5.85,270
12,MilkOat,6.23,266
13,Potato,9.33,187
14,Corn,4.26,269
15,Celery,0.16,105
16,Orange,9.96,211
17,Mandarin,7.22,194
18,Leek,7.97,239
19,Ginger,8.58,269
20,JuiceOrange,0.99,186
21,JuiceApple,3.44,277
22,JuicePineapple,9.53,257
23,Pineapple,7.21,140
24,Guava,9.96,257
25,Chips,5.32,265
26,Chocolate,2.31,213
27,Shapes,5.52,204
28,Salmon,5.26,191
29,Cocopops,9.18,248
30,Cheerios,8.94,280
31,FruitLoops,2.36,154
32,Cornflakes,9.41,142
33,Marshmallows,9.76,169
34,ChocolateDark,6.07,210
35,ChocolateWhite,0.16,204
36,Snikers,0.66,160
37,Flake,9.28,156
38,MarsBar,5.02,142
39,IceCreamVanilla,4.71,259
40,Pringles,9.61,109
41,IceCreamChocolate,9.76,278
42,IceCreamCookiesCream,5.98,212
43,IceCreamMint,6.77,107
44,IceCreamHoneycomb,1.20,189
45,IceCreamStrawberry,1.04,220
46,Strawberry,0.03,242
47,Blueberry,3.97,243
48,Butterscotch,6.89,207
49,Cherries,4.00,154
50,GrapesWhite,7.79,282
51,GrapesRed,2.19,234
52,Raspberry,6.76,235
53,Oreos,6.92,164
54,Pickles,2.57,111
55,Pepsi,6.14,240
56,Coke,5.95,198
57,IceTea,1.30,236
58,Fanta,7.02,222
59,Sprite,8.90,240
60,FrozenPizza,6.36,296
61,FrozenTaco,2.96,209
62,FrozenPeas,4.46,162
63,BananaBread,5.97,109
64,DrPepper,1.71,140
65,Donut,5.24,191
66,Skittles,4.00,132
67,Mayonaise,8.08,225
68,Tomato,6.30,130
69,TomatoSauce,8.11,262
70,Mustard,5.58,101
71,TinyTeddies,8.82,289
72,Toothpaste,2.05,190
73,BarbecueSauce,2.69,125
74,Spinach,7.04,180
75,Cucumber,8.82,280
76,Eggplant,0.16,175
77,Pumpkin,0.39,297
78,OnionBrown,1.07,189
79,BreadWhite,8.40,200
80,BreadBrown,0.99,295
81,BreadRye,7.02,216
82,BreadWholemeal,0.61,230
83,BreadWholegrain,9.31,184
84,BreadFlat,5.48,283
85,BreadNaan,2.99,250
86,SaladMix,5.58,190
87,Coleslaw,0.38,207
88,OnionRed,2.41,151
89,Cabbage,6.44,106
90,CabbagePurple,9.43,106
91,Brocolli,4.74,196
92,Cauliflower,4.60,165
93,Peas,9.41,165
94,Grapefruit,8.74,109
95,Beans,0.60,137
96,Eel,9.10,276
97,Oysters,1.96,134
98,Mussels,6.57,209
99,Haggis,0.45,137
100,Pepper,0.50,279
