member_id,item_id,qty,DATETIME
1,84,2,2022-04-10 17:56:08
1,14,4,2021-11-23 01:15:22
1,35,4,2021-12-31 00:28:17
1,20,1,2022-05-12 03:33:20
1,10,1,2022-09-27 22:48:54
1,48,2,2021-10-16 01:49:21
1,74,4,2021-12-25 19:59:46
1,38,4,2022-08-23 22:42:28
1,64,4,2022-05-22 21:25:53
1,8,2,2021-12-21 12:39:02
1,88,2,2022-03-23 11:58:58
1,90,3,2022-03-23 05:39:21
1,61,2,2022-02-12 07:20:53
1,51,2,2022-10-06 06:50:39
1,72,1,2021-11-21 10:59:40
2,95,1,2022-08-17 07:56:13
2,61,3,2022-02-21 02:29:50
2,79,2,2022-08-04 14:20:23
2,22,2,2022-01-19 14:20:37
2,65,2,2022-08-25 18:49:14
2,93,4,2022-09-19 04:38:42
2,79,2,2022-05-16 16:03:58
2,23,4,2022-02-22 06:23:08
2,97,2,2022-05-12 19:59:40
2,17,1,2021-11-08 04:55:56
2,58,4,2022-10-02 21:50:08
2,18,3,2022-03-18 00:02:42
3,92,3,2021-11-15 09:36:56
3,53,3,2022-06-06 17:34:18
3,92,4,2022-06-08 00:45:33
3,89,2,2022-07-01 03:51:30
3,67,4,2022-06-17 02:07:33
3,73,4,2021-10-25 10:19:47
3,79,4,2022-01-12 22:31:37
3,23,4,2022-06-08 04:16:42
3,90,2,2022-07-04 22:10:19
3,50,4,2021-11-02 06:54:54
4,95,4,2022-01-21 03:02:28
4,78,1,2021-11-25 04:32:52
4,25,2,2022-03-23 09:59:34
4,2,3,2022-03-12 10:06:48
4,58,1,2022-07-30 07:57:49
5,70,4,2022-08-15 01:31:24
5,63,2,2022-08-04 08:29:04
5,65,1,2021-10-22 21:22:32
5,25,2,2022-07-07 20:32:31
5,64,1,2022-02-21 06:10:15
5,60,3,2022-04-23 02:35:16
5,64,1,2022-03-02 00:23:52
5,16,1,2022-03-09 13:34:40
5,71,4,2022-08-23 06:43:05
6,59,2,2022-09-27 07:57:24
6,39,2,2022-02-06 04:37:36
6,22,3,2022-07-28 07:37:05
6,69,1,2022-09-06 13:24:23
6,90,4,2022-01-27 19:02:31
6,62,3,2021-12-04 17:32:18
6,15,3,2022-06-21 17:44:35
6,86,2,2022-02-01 10:30:26
6,37,4,2021-12-24 14:36:57
6,74,4,2021-10-26 09:24:56
6,45,4,2022-06-10 01:52:47
6,95,2,2022-05-02 02:19:49
7,63,2,2022-03-23 05:47:48
7,5,4,2022-09-01 09:08:30
7,22,4,2022-10-05 20:50:05
7,68,2,2021-12-30 13:29:59
7,52,3,2022-10-05 22:51:29
7,83,2,2022-06-14 03:31:53
7,49,4,2022-04-08 13:04:05
7,39,3,2022-06-22 00:16:04
7,12,1,2022-03-26 01:40:05
7,81,2,2022-09-01 07:50:35
7,93,3,2022-05-04 01:34:07
8,29,2,2021-12-12 11:21:56
8,44,2,2021-12-22 05:22:10
8,49,2,2022-05-26 15:11:50
8,73,4,2021-11-05 04:02:56
8,31,4,2022-05-16 20:40:26
8,43,3,2022-03-15 03:42:42
9,89,1,2022-07-19 19:55:45
9,89,1,2022-03-14 06:25:45
9,93,4,2022-09-07 14:14:49
9,71,4,2021-10-14 02:00:59
9,19,1,2021-12-02 14:39:08
9,47,4,2022-02-01 14:54:17
9,61,1,2022-08-14 05:49:40
9,21,3,2021-10-16 19:21:01
9,65,4,2022-03-31 00:07:44
10,58,3,2022-04-14 02:22:01
10,55,1,2022-10-11 04:35:05
10,14,2,2022-09-27 10:30:46
10,21,2,2021-12-05 22:59:54
10,93,2,2022-06-07 06:45:57
10,28,1,2022-06-21 07:04:08
10,68,1,2021-12-21 18:35:59
11,72,2,2021-11-19 06:57:25
11,75,1,2022-01-06 22:49:38
11,13,3,2022-08-08 11:16:26
11,64,2,2021-11-15 13:49:16
11,84,3,2022-03-24 06:32:08
11,89,3,2022-08-07 16:58:48
11,56,4,2022-01-02 04:43:44
11,19,3,2022-07-11 02:09:44
11,73,3,2022-02-24 09:28:20
11,90,1,2022-01-31 18:51:14
11,17,4,2022-01-09 04:31:28
12,25,2,2021-10-25 17:52:40
12,9,4,2022-04-23 23:58:13
12,19,4,2022-07-16 08:54:16
12,13,3,2022-08-21 13:01:16
12,17,3,2022-04-13 12:04:25
12,75,1,2022-07-24 19:47:50
12,84,3,2022-03-14 00:04:15
12,90,2,2022-08-02 19:28:31
12,68,3,2022-02-27 20:37:17
12,78,2,2021-12-13 23:12:17
12,49,1,2021-12-21 23:08:42
12,39,2,2022-03-06 00:19:56
